epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.8969,2.79324,7.64058,2.20762,0,0,0,0,2.44866,6.99731,1.15685,0.00020004,0.00020004,0.00020004
2,100.599,1.99416,5.26205,1.55347,0,0,0,0,2.54118,6.97661,1.15812,0.000408498,0.000408498,0.000408498
3,149.241,2.18263,5.0036,1.60113,0.0008,0.125,0.00052,0.00031,2.45525,6.04499,1.13534,0.000608375,0.000608375,0.000608375
4,199.347,2.37842,5.68164,1.73694,0,0,0,0,2.18335,5.67549,1.11491,0.00079967,0.00079967,0.00079967
5,244.434,2.22663,4.96813,1.49294,0.00185,0.25,0.00155,0.00105,2.00628,4.977,1.06857,0.000982383,0.000982383,0.000982383
6,289.905,2.17791,4.57158,1.56766,0.00193,0.25,0.0015,0.00091,2.15213,4.96918,1.09772,0.00115651,0.00115651,0.00115651
7,335.051,2.39059,4.86658,1.67167,0.00181,0.25,0.01227,0.0072,2.15484,4.8361,1.11778,0.00132206,0.00132206,0.00132206
8,380.451,2.37414,4.45886,1.76939,0.00257,0.41667,0.00611,0.00293,2.07819,4.89348,1.10509,0.00143595,0.00143595,0.00143595
9,424.886,2.43763,4.87405,1.78288,0.00255,0.41667,0.02958,0.01137,1.8231,5.043,1.01773,0.00140295,0.00140295,0.00140295
10,470.55,2.14626,4.06996,1.55551,0.14347,0.125,0.05381,0.0295,1.90255,4.87242,1.02509,0.00136994,0.00136994,0.00136994
11,517.086,2.3852,4.4739,1.68812,0.01141,0.16667,0.01812,0.00544,2.17153,6.95754,1.10589,0.00133693,0.00133693,0.00133693
12,563.531,2.14968,3.79191,1.54967,0.14359,0.25,0.13661,0.0703,1.81597,3.97277,1.10551,0.00130393,0.00130393,0.00130393
13,608.18,2.42883,4.58474,1.70461,0.57379,0.3175,0.29092,0.18238,1.72086,3.80863,1.05981,0.00127092,0.00127092,0.00127092
14,652.929,2.16213,3.82953,1.5619,0.43211,0.29167,0.25111,0.16997,1.548,3.33811,1.05152,0.00123791,0.00123791,0.00123791
15,697.552,2.33506,3.87774,1.54935,0.54179,0.3951,0.35492,0.18206,1.73914,2.93292,1.07533,0.00120491,0.00120491,0.00120491
16,742.672,2.10301,4.10567,1.62166,0.49147,0.41667,0.40221,0.2007,1.78377,2.92306,1.07514,0.0011719,0.0011719,0.0011719
17,788.551,2.46195,4.37268,1.69486,0.60303,0.41667,0.33855,0.17593,1.78563,2.6253,1.10691,0.00113889,0.00113889,0.00113889
18,833.459,2.27978,4.07913,1.58951,0.65806,0.41667,0.40804,0.22346,1.65067,2.34099,1.06909,0.00110589,0.00110589,0.00110589
19,878.987,1.93488,3.44742,1.48106,0.76493,0.41667,0.4157,0.20954,1.69072,2.15063,1.05412,0.00107288,0.00107288,0.00107288
20,923.937,2.14074,3.49862,1.48166,0.63454,0.41667,0.41951,0.24424,1.71802,2.33707,1.00041,0.00103987,0.00103987,0.00103987
21,969.01,2.09807,3.56273,1.54891,0.75477,0.41667,0.42949,0.24447,1.78274,1.98699,1.01783,0.00100687,0.00100687,0.00100687
22,1014.12,2.0721,3.4238,1.61069,0.85621,0.41667,0.41896,0.26455,1.63094,2.11488,1.0155,0.000973861,0.000973861,0.000973861
23,1059.17,2.13873,3.49775,1.50797,0.89281,0.41667,0.44969,0.27373,1.72762,2.17188,1.0421,0.000940855,0.000940855,0.000940855
24,1103.99,1.85602,3.1015,1.50105,0.85007,0.41667,0.4157,0.24934,1.76875,2.03022,1.02389,0.000907848,0.000907848,0.000907848
25,1148.66,1.83821,3.04924,1.41964,0.78671,0.41667,0.43123,0.25265,1.69429,2.24242,1.01512,0.000874842,0.000874842,0.000874842
26,1194.13,2.11954,3.283,1.5582,0.77844,0.41667,0.45685,0.25147,1.58774,2.56858,1.00213,0.000841835,0.000841835,0.000841835
27,1238.98,1.74897,2.95185,1.38172,0.77397,0.41667,0.49393,0.27326,1.74677,2.27431,1.0183,0.000808828,0.000808828,0.000808828
28,1283.47,1.7623,2.86757,1.37279,0.76184,0.41667,0.44758,0.26051,1.49813,1.83999,0.96119,0.000775822,0.000775822,0.000775822
29,1328.17,1.923,3.06309,1.46713,0.81101,0.41667,0.4352,0.2674,1.41848,1.97928,0.94285,0.000742815,0.000742815,0.000742815
30,1374.16,1.99184,3.29495,1.43966,0.84396,0.41667,0.53955,0.31105,1.25597,1.8846,0.91471,0.000709809,0.000709809,0.000709809
31,1420.15,1.82186,2.90665,1.41888,0.9329,0.53223,0.61568,0.36623,1.12439,1.49709,0.8969,0.000676802,0.000676802,0.000676802
32,1467.31,2.08866,3.27455,1.55063,0.94368,0.53459,0.59585,0.30931,1.24878,1.55952,0.90386,0.000643795,0.000643795,0.000643795
33,1514.43,1.7396,2.68078,1.33259,0.91912,0.41667,0.52445,0.2662,1.42276,1.51382,0.93538,0.000610789,0.000610789,0.000610789
34,1559.65,1.75475,2.71882,1.34805,0.91491,0.41667,0.48311,0.25531,1.5346,1.55548,0.95352,0.000577782,0.000577782,0.000577782
35,1605.77,1.60935,2.62486,1.25121,0.91897,0.41667,0.48605,0.29317,1.38073,1.39579,0.9536,0.000544776,0.000544776,0.000544776
36,1651.72,1.73834,2.71374,1.34946,0.95159,0.41667,0.49456,0.34486,1.31104,1.48763,0.93386,0.000511769,0.000511769,0.000511769
37,1698.63,1.67486,2.72264,1.28227,0.95901,0.41667,0.50349,0.33158,1.27919,1.48648,0.92386,0.000478762,0.000478762,0.000478762
38,1746.25,1.59113,2.42557,1.26735,0.94514,0.41667,0.51261,0.33807,1.25137,1.4761,0.9055,0.000445756,0.000445756,0.000445756
39,1793.71,1.7427,2.58561,1.35438,0.82055,0.52797,0.66385,0.30589,1.27753,1.37596,0.90265,0.000412749,0.000412749,0.000412749
40,1838.86,1.73269,2.53981,1.34453,0.81058,0.52934,0.64423,0.31348,1.27867,1.3781,0.90301,0.000379743,0.000379743,0.000379743
41,1883.86,1.5445,2.72541,1.25657,0.82025,0.53121,0.64303,0.34848,1.19078,1.35837,0.89713,0.000346736,0.000346736,0.000346736
42,1932.5,1.6745,3.04406,1.34748,0.82144,0.53143,0.64303,0.36304,1.1845,1.37633,0.89698,0.000313729,0.000313729,0.000313729
43,1979.08,1.79122,3.315,1.42648,0.8342,0.53211,0.66386,0.4004,1.15264,1.28854,0.89732,0.000280723,0.000280723,0.000280723
44,2025.23,1.73659,3.15949,1.33943,0.80265,0.5328,0.66569,0.39714,1.16431,1.30539,0.90607,0.000247716,0.000247716,0.000247716
45,2072.31,1.63232,2.79995,1.26863,0.79306,0.53316,0.66568,0.39714,1.16883,1.34456,0.90709,0.00021471,0.00021471,0.00021471
46,2119.4,1.7343,3.23328,1.28396,0.79207,0.53348,0.6678,0.43819,1.20851,1.44111,0.91105,0.000181703,0.000181703,0.000181703
47,2167.13,1.46948,2.44612,1.24046,0.79529,0.53353,0.66781,0.41298,1.21784,1.45026,0.906,0.000148696,0.000148696,0.000148696
48,2213.18,1.44518,2.59239,1.24514,0.80178,0.53335,0.67032,0.41349,1.20915,1.41539,0.90108,0.00011569,0.00011569,0.00011569
49,2259.78,1.50588,2.72893,1.3119,0.81648,0.5331,0.67332,0.4016,1.18105,1.32109,0.89018,8.26832e-05,8.26832e-05,8.26832e-05
50,2304.31,1.58825,2.70237,1.28822,0.81367,0.53317,0.67332,0.38296,1.1698,1.30377,0.88706,4.96766e-05,4.96766e-05,4.96766e-05
